211454;2.33;4;6;ADBLUE
211455;4.00;4;6;ADBLUE
149359;1.93;4;6;ADBLUE (TOT)
150050;2.22;4;6;ADBLUE (TOT)
226538;2.67;4;6;ADBLUE (TOT)
226606;10.29;4;6;BIOTRAFFIC 5000 FE 10W30
226607;10.08;4;6;BIOTRAFFIC 5000 FE 10W30
157376;13.56;4;6;BIOTRANS FX
174389;14.08;4;6;BIOTRANS LS FE 75W90
213689;3.23;4;6;CLASSIC 5 15W40
213692;3.57;4;6;CLASSIC 5 15W40
213707;3.39;4;6;CLASSIC 5 15W40
213708;3.44;4;6;CLASSIC 5 15W40
213753;3.97;4;6;CLASSIC 5 15W40
213691;3.55;4;6;CLASSIC 7 10W40
213693;3.21;4;6;CLASSIC 7 10W40
213705;3.37;4;6;CLASSIC 7 10W40
213706;3.43;4;6;CLASSIC 7 10W40
213752;3.96;4;6;CLASSIC 7 10W40
213058;4.65;4;6;CLASSIC 9 0W30
213059;4.29;4;6;CLASSIC 9 0W30
217915;5.47;4;6;CLASSIC 9 0W30
213718;3.87;4;6;CLASSIC 9 5W30
213719;4.09;4;6;CLASSIC 9 5W30
213786;4.67;4;6;CLASSIC 9 5W30
213839;4.23;4;6;CLASSIC 9 5W30
213690;3.57;4;6;CLASSIC 9 5W40
213696;3.93;4;6;CLASSIC 9 5W40
213703;3.74;4;6;CLASSIC 9 5W40
213704;3.79;4;6;CLASSIC 9 5W40
213730;4.37;4;6;CLASSIC 9 5W40
214105;5.24;4;6;CLASSIC 9 C1 5W30
214106;4.23;4;6;CLASSIC 9 C1 5W30
213739;4.25;4;6;CLASSIC 9 C2 5W30
213787;5.14;4;6;CLASSIC 9 C2 5W30
213856;4.63;4;6;CLASSIC 9 C2 5W30
214102;4.23;4;6;CLASSIC 9 C2-C3 5W30
214103;3.87;4;6;CLASSIC 9 C2-C3 5W30
214191;4.67;4;6;CLASSIC 9 C2-C3 5W30
214321;4.24;4;6;CLASSIC 9 C3 5W30
214322;3.88;4;6;CLASSIC 9 C3 5W30
214323;4.05;4;6;CLASSIC 9 C3 5W30
214141;4.08;4;6;CLASSIC 9 C3 5W40
214142;3.72;4;6;CLASSIC 9 C3 5W40
214131;4.31;4;6;CLASSIC 9 C4 5W30
214132;3.94;4;6;CLASSIC 9 C4 5W30
214307;4.11;4;6;CLASSIC 9 C4 5W30
214319;4.24;4;6;CLASSIC 9 LL 5W30
214320;4.61;4;6;CLASSIC 9 LL 5W30
213585;2.90;4;6;CLEARNOX
213586;2.59;4;6;CLEARNOX
213587;2.80;4;6;CLEARNOX
215888;1.46;4;6;CLEARNOX CDS
164607;2.68;4;6;COOLAGRI ORGANIC -37¡C
164608;2.51;4;6;COOLAGRI ORGANIC -37¡C
213727;3.43;4;6;COOLAGRI ORGANIC -37¡C
213660;2.47;4;6;COOLELF AUTO SUP-37¡(N)
213782;2.87;4;6;COOLELF AUTO SUP-37¡(N)
